15:26:02–15:26:09  I fold a tissue.
18:30:23–18:30:27  I lift the folded pancake roll with chopsticks.
18:30:28–18:30:31  I probe the egg pancake layer with chopsticks.
18:30:32–18:30:34  I lift the pancake layer.
18:30:34–18:30:36  I say '怎么这么多？我不是只有两块了吗？'
18:30:36–18:30:43  My companion says '有不同风味的，有辣椒味儿的，芝士味儿的，芝士呃沙拉酱味儿的'.
18:30:44–18:30:48  I touch the pancake.
18:30:48–18:30:54  I rest chopsticks on the egg roll.
18:30:54–18:30:57  I watch my companion reach toward the plate.
18:30:57–18:31:01  My companion says '这个好吃，尝这个，这个难吃。'
18:31:02–18:31:06  Roommate says '这是芝士味儿的。'
18:31:06–18:31:09  Roommate asks '芝士味儿为什么难吃？'
18:31:09–18:31:12  I say '太咸了。'
18:31:12–18:31:17  I say '这是原味儿的。'
18:31:17–18:31:23  Roommate asks '我刚吃的是沙拉酱的吗？'
18:31:23–18:31:32  I say '对啊，这是芝士的。'
18:31:32–18:31:34  My companion says '是什么芝士难吃？挺好吃的。'
18:31:34–18:31:36  I say '太咸了。'
18:31:36–18:31:39  My companion says '这是原味儿的。'
18:31:39–18:31:42  I ask '辣椒的呢？'
18:31:42–18:31:46  My companion replies '辣椒的被我吃了，刚才。'
18:31:46–18:31:49  I ask '这个呢？'
18:31:49–18:31:53  My companion says '这个是甜味儿的。'
18:31:53–18:31:57  I ask '甜味儿的是啥？'
18:31:57–18:32:01  My companion says '甜味儿就是加糖了。'
18:32:02–18:32:06  My friend says "本来没蛋了。哦，我就用了一盒，还有还有一盒，我那盒没蛋了。"
18:32:06–18:32:10  I say "不是有很多吗？我那盒。" to my friend.
18:32:10–18:32:14  I ask my friend "你这用了多少个蛋？"
18:32:14–18:32:16  My friend says "顶多四五个。"
18:32:16–18:32:21  I lift a piece of egg pancake.
18:32:21–18:32:25  I say "四个是？我那盒不是有很多吗？"
18:32:25–18:32:29  I ask my friend "你是在抽屉里面拿的吗？"
18:32:29–18:32:31  My friend says "嗯。"
18:32:32–18:32:35  My friend says '还有一盒新的。'.
18:32:35–18:32:39  My friend asks '你家有没有咸菜呀？萝卜榨菜之类的。'.
18:32:39–18:32:44  I watch my friend eat the pancake.
18:32:44–18:32:50  My friend says '还是你那个白色沙拉酱味的好吃，还有辣椒面的那个好吃。'.
18:32:50–18:32:53  I place chopsticks down and stand up.
18:32:53–18:32:57  I walk toward the hallway door.
18:32:57–18:33:01  I reach into seasoning packets on the kitchen counter.
18:33:02–18:33:04  I say '你说啥？'.
18:33:04–18:33:07  Person A says '想要一下想想要一下豆腐乳。'.
18:33:07–18:33:10  I say '哦。'.
18:33:10–18:33:14  I walk toward bedroom B.
18:33:14–18:33:20  I walk to the bedside table.
18:33:20–18:33:24  I place the dressing bottle on the rolling table.
18:33:24–18:33:27  Person A picks up egg pancake with chopsticks.
18:33:27–18:33:31  I take a piece of egg pancake.
18:33:32–18:33:34  The companion says '这是辣椒味的。'
18:33:34–18:33:36  I pinch a piece of egg pancake.
18:33:36–18:33:38  I ask '为啥甜的上面也有辣椒？'
18:33:38–18:33:40  I open a snack pouch.
18:33:40–18:33:43  The companion says '因为是甜辣，还是得这个好吃。'
18:33:43–18:33:46  I pick up a bottle of mayonnaise.
18:33:46–18:33:50  I open the mayonnaise bottle.
18:33:50–18:33:53  I shake the mayonnaise bottle.
18:33:53–18:34:02  I drizzle mayonnaise on the egg pancake.
18:34:02–18:34:05  The roommate says '刚有个人来换椅子。'
18:34:05–18:34:08  I say '你这不是换了吗？'
18:34:08–18:34:13  The roommate says 'I don't know. I just reported, reported.'
18:34:13–18:34:18  I cap the mayonnaise bottle.
18:34:18–18:34:24  I store the mayonnaise bottle in the cart.
18:34:25–18:34:31  I eat the egg pancake with chopsticks.
18:34:32–18:34:36  I lift a strip of egg crepe.
18:34:36–18:34:42  I separate the egg crepe into portions.
18:34:42–18:34:50  I fold the egg crepe into a roll.
18:34:50–18:34:56  I lift the folded egg crepe roll.
18:34:56–18:35:00  I hold the rolled egg crepe.
18:35:00–18:35:02  I look at my roommate typing on her laptop.
18:35:02–18:35:03  I hold up a piece of egg pancake.
18:35:03–18:35:04  I say '尝过这个。' to my roommate.
18:35:04–18:35:05  My roommate replies '嗯。'
18:35:05–18:35:07  I lower my chopsticks.
18:35:07–18:35:15  I pick apart the egg pancake.
18:35:15–18:35:17  I look at the wooden partition.
18:35:17–18:35:25  I pick up a bite of egg pancake.
18:35:25–18:35:30  I observe my roommate working.
18:35:30–18:35:32  I look at the container of cherries.
18:35:32–18:35:34  I look at User X typing on her laptop.
18:35:34–18:35:36  I grab a piece of pancake.
18:35:37–18:35:43  I examine the pancake.
18:35:44–18:35:54  I lift a piece of egg pancake.
18:35:55–18:36:01  I pick up another piece of pancake.
18:36:02–18:36:03  I lift a piece of pancake.
18:36:03–18:36:04  I say '嗯。'
18:36:04–18:36:06  I poke the pancake.
18:36:07–18:36:12  I examine the crepe.
18:36:13–18:36:18  I tear the pancake layers.
18:36:19–18:36:25  I probe the pancake filling.
18:36:26–18:36:31  I press the pancake fold.
18:36:32–18:36:36  I tear the egg pancake.
18:36:36–18:36:42  I grip a piece of egg pancake.
18:36:43–18:36:47  I lift the egg pancake piece.
18:36:48–18:36:54  I hold up the egg pancake piece.
18:36:55–18:37:01  I look at the plate.
18:37:02–18:37:15  I inspect a piece of pancake.
18:37:16–18:37:20  I place the pancake down.
18:37:21–18:37:23  I say '混了是吧？'.
18:37:24–18:37:28  I watch my roommate take pancake.
18:37:29–18:37:31  Roommate says '这是芝士味的。'.
18:37:32–18:37:35  I listen to User A say '巨鲜'.
18:37:35–18:37:40  I listen to User A say '这是甜味儿的，这是沙拉酱味儿的。'.
18:37:40–18:37:44  I listen to User A say '但是他们已经合体了。'.
18:37:44–18:37:50  I watch User A eat the pancake.
18:37:50–18:37:56  I listen to User A say '我觉得最好吃的是辣椒面儿加那个甜酱味儿的。'.
18:37:56–18:38:01  I look at the plate of pancake.
18:38:02–18:38:04  The friend asks "嗯，吃这个吗？".
18:38:04–18:38:06  The friend says "吃这个。".
18:38:07–18:38:11  The friend says "啊，这个不好吃。".
18:38:12–18:38:17  I look at the egg pancake.
18:38:18–18:38:25  I separate the egg pancake with chopsticks.
18:38:26–18:38:31  The friend says "我吃。".
18:38:32–18:38:34  Roommate says '这个不好吃。'
18:38:35–18:38:38  I transfer a pancake slice to roommate.
18:38:39–18:38:44  Roommate asks '嗯，这个是什么味儿的？'
18:38:45–18:38:48  I say '这是那个沙拉酱。'
18:38:49–18:38:53  Roommate says '对，沙拉酱味儿的。'
18:38:54–18:38:58  I pick up a pancake slice.
18:38:59–18:39:01  I hold a pancake slice.
18:39:02–18:39:14  I eat egg pancake with chopsticks.
18:39:15–18:39:18  I place chopsticks down.
18:39:19–18:39:22  The roommate says '还有个原味的，嗯。'.
18:39:22–18:39:24  I look at the rolling cart.
18:39:25–18:39:31  I stand up and observe the room.
18:39:32–18:39:35  I ask '咋了？'.
18:39:35–18:39:38  I ask '为啥？'.
18:39:38–18:39:48  I watch my roommate typing on her laptop.
18:39:48–18:39:53  I say '还有一个甜味儿的。'.
18:39:53–18:40:01  I look at my roommate typing.
18:40:02–18:40:07  I watch my roommate typing on her laptop.
18:40:07–18:40:17  I look at the food and paper towel roll.
18:40:17–18:40:22  I watch my roommate pick up chopsticks.
18:40:22–18:40:27  Roommate says '有点腻了，不够辣'.
18:40:27–18:40:31  I say '我可以再给你加把辣椒面儿' to my roommate.
18:40:32–18:40:36  I say '刚开始火候短，所以软；火候长就硬了。'
18:40:36–18:40:42  I say '其实软的也好吃，硬的也还行。'
18:40:42–18:40:46  My roommate says '现在吃面粉团呢。'
18:40:46–18:40:53  I say '你就当是烤冷面呗，烤冷面不也这口感吗？'
18:40:53–18:40:57  I say '就少个洋葱和甜酱。'
18:40:57–18:41:01  I look toward the laptop desk.
18:41:02–18:41:07  I say '呃，别干了，出去买点吃的吧，咱俩快饿死了。' to my roommate.
18:41:07–18:41:10  My roommate says '又是把这一段改完'.
18:41:10–18:41:12  I say '可以。'.
18:41:12–18:41:15  I look at the desk.
18:41:15–18:41:19  I look toward my roommate.
18:41:19–18:41:23  I hold the coffee table.
18:41:23–18:41:31  I say '现在你是体会到了我的那个专注时刻了，就是之前。'.
18:41:32–18:41:38  I say "以前你总想跟我说话，但是感觉一天都没有理你的感觉。现在你是体会到我的专注时刻。"
18:41:39–18:41:42  The woman says "我是很少这样，你是每天。"
18:41:43–18:41:51  I say "哈哈哈哈哈。那能一样？你有没有可能我每天干的活和你现在干的活类似呢？"
18:41:52–18:41:55  I look at the air conditioner.
18:41:56–18:42:01  I say "你还有余额呢？"
18:42:02–18:42:07  I say '不够用，我把我的那个号给你。'
18:42:08–18:42:15  My companion says '暂时不用把这个改完，不需要你。'
18:42:16–18:42:20  I read the Word document text.
18:42:21–18:42:25  I check notifications on my iPhone lock screen.
18:42:26–18:42:27  I look at the floor beside the desk.
18:42:28–18:42:31  I say '来通知了，我这儿同时跟五个人。'
18:42:32–18:42:33  I ask "battle吗？"
18:42:33–18:42:35  User X replies "不是，有些问题啊什么的。"
18:42:35–18:42:37  I ask "嗯，还有中介是吧？"
18:42:37–18:42:38  User X says "嗯。"
18:42:38–18:42:44  I ask "因为中介有推八千多的吗？我想八千多、九千多都看一下。"
18:42:44–18:42:46  User X replies "少，基本没有。"
18:42:46–18:42:52  I say "OK。八千多。是因为是因为你跟他说的就是九千多价格吗？"
18:42:52–18:43:01  User X explains "一万以内。而且你就算去搜八千多的，它的条件首先会很差，其次它的地段基本上都集中在油尖旺。"
18:43:02–18:43:06  I look at the laptop keyboard.
18:43:07–18:43:14  I read the Word document.
18:43:15–18:43:19  I observe the companion resting her head.
18:43:20–18:43:23  I look at the WeChat window.
18:43:24–18:43:24  I ask '这都改完了？'
18:43:25–18:43:26  The companion says '没有呢，还有。'
18:43:27–18:43:31  I say '不是，你这叫这段儿是吗？'
18:43:32–18:43:35  I watch companion working on laptop.
18:43:36–18:43:42  I gaze out the window.
18:43:43–18:43:48  I say '你让你的 Cloud 休息会儿，它得恢复呢，它到多少了？' to companion.
18:43:49–18:43:53  Companion says '没有 Cloud。'
18:43:54–18:44:01  I say '哦，没事，那你的脑子得休，不是你的胃得休息会儿。'
18:44:02–18:44:06  User A exclaims '我的胃快不行了！救命啊！'.
18:44:06–18:44:11  User A asks '等多久啊？'.
18:44:11–18:44:15  User A says '走走走走走走走！放我！充电充电！'.
18:44:15–18:44:18  I turn away from the window.
18:44:18–18:44:22  I walk to my desk.
18:44:22–18:44:27  I pick up a salad dressing pouch.
18:44:27–18:44:31  I say '哎，这沙拉酱吃完就给我贴回去，没吃完就给我放冰箱去。' to User A.
18:44:32–18:44:35  I fold a tissue paper.
18:44:36–18:44:41  I watch my roommate get up from the window ledge.
18:44:42–18:44:45  I toss the tissue paper into the trash bin.
18:44:46–18:44:50  I check the AC remote control.
18:44:51–18:44:53  I adjust the folding chair.
18:44:54–18:44:56  I wipe the salad dressing bottle.
18:44:56–18:44:58  I say '你咋知道这沙拉酱瓶子没油啊？' to my roommate.
18:44:58–18:45:01  I scan the room.
18:45:02–18:45:08  My roommate says '然后在出去玩之前，把我的方法和 Chapter One、Chapter Two 全写出来，然后把数据分析全弄好，不然后面来不及。'
18:45:09–18:45:12  I pour water from an electric kettle into a glass.
18:45:13–18:45:18  I raise a glass of water.
18:45:19–18:45:23  I watch my roommate pick up a plate with chopsticks.
18:45:24–18:45:26  My roommate says 'Okay, that's a very you take this, wash it, clean it, and take this to refrigerator. Refrigerator.'
18:45:27–18:45:31  My roommate says 'Oh, wow! I need to change my clothes. I still have time.'
18:45:32–18:45:33  I hold a dirty plate and chopsticks.
18:45:33–18:45:40  I carry the dirty plate and chopsticks to the kitchen.
18:45:40–18:45:43  I turn on the kitchen faucet.
18:45:43–18:45:48  I rinse the plate under running water.
18:45:48–18:45:51  I grab a dishwashing sponge.
18:45:51–18:46:01  I scrub the plate with a sponge.
18:46:02–18:46:20  I wash a white ceramic bowl.
18:46:21–18:46:23  I place the washed bowl onto the dish stack.
18:46:24–18:46:27  I pick up the black chopsticks.
18:46:28–18:46:31  I scrub the black chopsticks with a sponge.
18:46:32–18:46:36  I scrub a bundle of chopsticks.
18:46:37–18:46:41  I lather the chopsticks.
18:46:42–18:46:48  I rinse the chopsticks under running water.
18:46:49–18:46:55  I rotate the chopsticks under running water.
18:46:56–18:47:01  I rinse the chopsticks.
18:47:02–18:47:04  I wash my hands.
18:47:05–18:47:12  I wash chopsticks.
18:47:13–18:47:15  I place chopsticks on a plate.
18:47:16–18:47:17  I say '唉。'
18:47:18–18:47:23  I bring a frying pan to the sink.
18:47:24–18:47:31  I scrub the frying pan.
18:47:32–18:47:40  I wash the frying pan.
18:47:40–18:47:42  I say '把水倒掉。'
18:47:42–18:47:45  I pour the water out of the frying pan.
18:47:45–18:47:53  I rinse the frying pan.
18:47:53–18:47:56  I pick up the silicone spatula.
18:47:56–18:48:02  I wash the silicone spatula.
18:48:02–18:48:13  I wash a silicone spatula under running water.
18:48:13–18:48:22  I rinse the silicone spatula head.
18:48:22–18:48:31  I rinse the spatula under running water.
18:48:32–18:48:41  I wash a spatula and pan.
18:48:42–18:48:45  I hang the spatula on a wall hook.
18:48:46–18:48:48  I turn off the kitchen faucet.
18:48:49–18:48:51  I place the pan onto the gas stove.
18:48:52–18:48:53  I turn off the range hood light.
18:48:54–18:48:58  I walk down the hallway.
18:48:59–18:49:01  User X says '啊！'.
18:49:02–18:49:08  I turn around from the study desk.
18:49:08–18:49:13  I say "你的裤、你的衣服为什么会随机刷新在家里的每一个地方？" to my roommate.
18:49:13–18:49:16  Roommate says "Damn！".
18:49:16–18:49:23  I watch my roommate browse the clothes rack.
18:49:24–18:49:28  I hold a power bank and beige sweatpants.
18:49:29–18:49:31  Roommate says "哎，我穿。" to me.
18:49:32–18:49:34  User A says '我把你身上裤子脱了，你这。'.
18:49:34–18:49:36  I say 'Yeah yeah。'.
18:49:36–18:49:38  I say '啊。'.
18:49:38–18:49:40  I say '我要健身了。'.
18:49:40–18:49:42  User A says '去吧。'.
18:49:42–18:49:46  I put on the beige knit shorts.
18:49:46–18:49:49  I walk toward the entryway.
18:49:49–18:49:54  I look at the shoe shelf.
18:49:54–18:49:57  I fold the white garment.
18:49:57–18:50:01  I grasp the folding drying rack bracket.
18:50:02–18:50:08  I reach toward the entryway shelf.
18:50:08–18:50:11  I walk into the bedroom.
18:50:11–18:50:16  I walk toward my desk chair.
18:50:16–18:50:22  I take out my wallet from the backpack.
18:50:22–18:50:27  I lift the backpack off the chair.
18:50:27–18:50:31  I adjust items on the desk chair.
18:50:32–18:50:33  I look at my MacBook screen.
18:50:34–18:50:43  I say '下午在看那个 Barton 那篇论文，Where does reward function comes，还挺有意思的，特别是那两个实验的目的。'
18:50:44–18:50:45  I look at the Chrome toolbar.
18:50:46–18:50:51  I read the POV Rollout Viewer text.
18:50:52–18:50:55  I view the '提醒 今晚有汇报' reminder.
18:50:56–18:51:01  I review the reminder task options.
18:51:02–18:51:03  I view the browser window.
18:51:03–18:51:05  I watch the YouTube video 'THE CANDLE PROBLEM'.
18:51:05–18:51:10  I read the evolutionary reward function notes in VS Code.
18:51:10–18:51:17  I inspect the VS Code right pane.
18:51:17–18:51:24  I examine the curiosity reward section in VS Code.
18:51:24–18:51:28  I say '就没有回报，还是。'.
18:51:28–18:51:32  I read the reinforcement learning paper notes in VS Code.
18:51:32–18:51:36  I view the MacBook screen.
18:51:36–18:51:38  I say "又不走了。".
18:51:38–18:51:42  I type on the keyboard.
18:51:42–18:51:45  I say "走。".
18:51:45–18:51:51  I pick up the electric kettle.
18:51:51–18:51:55  I walk to the bathroom carrying the kettle.
18:51:55–18:51:58  I say "没想到我很早就给你下了指令接水。" to my roommate.
18:51:58–18:52:01  I fill the kettle with water.
18:52:02–18:52:06  I fill an electric kettle with tap water.
18:52:06–18:52:11  I put the lid on the kettle.
18:52:11–18:52:16  I carry the kettle into the bedroom.
18:52:16–18:52:22  I walk toward the workspace table.
18:52:22–18:52:26  I approach the study desk.
18:52:26–18:52:30  I plug a USB drive into the laptop.
18:52:30–18:52:31  I say '哦，好像是。I think so. I think it's true.'
18:52:32–18:52:34  I say '两。'
